"id_contrat","age_souscription","genre","duree","capital_assure","fumeur","annee_souscription","age_actuel","anciennete","duree_restante"
"DC01125",23,"F",15,194000,FALSE,2018,31,8,7
"DC01126",44,"H",20,326000,TRUE,2020,50,6,14
"DC01128",22,"F",10,264000,FALSE,2023,25,3,7
"DC01129",58,"H",12,140000,FALSE,2024,60,2,10
"DC01130",57,"F",13,154000,FALSE,2021,62,5,8
"DC01131",36,"H",10,222000,FALSE,2021,41,5,5
"DC01132",45,"H",15,153000,TRUE,2024,47,2,13
"DC01133",39,"H",15,120000,FALSE,2024,41,2,13
"DC01134",39,"F",10,74000,TRUE,2023,42,3,7
"DC01135",31,"F",10,302000,TRUE,2022,35,4,6
"DC01136",39,"H",15,597000,FALSE,2022,43,4,11
"DC01137",47,"F",20,293000,FALSE,2024,49,2,18
"DC01138",54,"F",16,311000,TRUE,2023,57,3,13
"DC01139",22,"F",15,97000,FALSE,2019,29,7,8
"DC01141",54,"H",16,161000,TRUE,2020,60,6,10
"DC01142",50,"H",20,228000,FALSE,2024,52,2,18
"DC01143",39,"H",20,120000,FALSE,2023,42,3,17
"DC01144",42,"H",15,86000,TRUE,2022,46,4,11
"DC01145",57,"H",5,136000,TRUE,2024,59,2,3
"DC01146",29,"F",25,1076000,FALSE,2023,32,3,22
"DC01147",45,"F",20,118000,TRUE,2020,51,6,14
"DC01148",50,"H",20,299000,TRUE,2022,54,4,16
"DC01149",57,"F",10,46000,FALSE,2019,64,7,3
"DC01150",20,"F",10,1198000,FALSE,2019,27,7,3
"DC01151",54,"H",10,54000,FALSE,2022,58,4,6
"DC01152",32,"H",20,166000,FALSE,2023,35,3,17
"DC01153",24,"F",15,155000,FALSE,2022,28,4,11
"DC01154",33,"F",20,132000,FALSE,2022,37,4,16
"DC01155",46,"F",24,47000,FALSE,2021,51,5,19
"DC01156",46,"H",10,75000,FALSE,2023,49,3,7
"DC01157",52,"H",5,326000,FALSE,2022,56,4,1
"DC01158",51,"F",19,168000,FALSE,2023,54,3,16
"DC01159",20,"H",20,145000,FALSE,2024,22,2,18
"DC01160",51,"F",15,187000,FALSE,2024,53,2,13
"DC01161",33,"H",20,170000,FALSE,2022,37,4,16
"DC01162",52,"H",18,169000,FALSE,2022,56,4,14
"DC01163",39,"H",25,259000,TRUE,2021,44,5,20
"DC01164",22,"H",15,231000,FALSE,2020,28,6,9
"DC01165",22,"H",30,373000,FALSE,2022,26,4,26
"DC01166",42,"H",15,142000,FALSE,2020,48,6,9
"DC01167",52,"F",5,192000,FALSE,2022,56,4,1
"DC01168",25,"H",10,33000,FALSE,2018,33,8,2
"DC01169",25,"F",25,383000,FALSE,2024,27,2,23
"DC01170",33,"H",10,281000,FALSE,2024,35,2,8
"DC01171",39,"F",5,130000,FALSE,2022,43,4,1
"DC01172",27,"F",10,565000,TRUE,2024,29,2,8
"DC01173",28,"F",25,127000,FALSE,2018,36,8,17
"DC01174",55,"H",15,192000,FALSE,2025,56,1,14
"DC01175",58,"H",12,53000,FALSE,2021,63,5,7
"DC01177",34,"H",10,87000,FALSE,2020,40,6,4
"DC01178",26,"H",15,97000,FALSE,2024,28,2,13
"DC01179",48,"F",10,568000,TRUE,2023,51,3,7
"DC01180",34,"F",20,342000,FALSE,2021,39,5,15
"DC01181",49,"H",15,93000,FALSE,2019,56,7,8
"DC01182",35,"H",10,293000,TRUE,2023,38,3,7
"DC01183",36,"H",15,305000,FALSE,2025,37,1,14
"DC01184",20,"F",25,228000,FALSE,2023,23,3,22
"DC01185",38,"H",30,151000,FALSE,2024,40,2,28
"DC01186",27,"F",15,181000,FALSE,2021,32,5,10
"DC01187",30,"H",20,274000,FALSE,2022,34,4,16
"DC01188",29,"H",15,115000,FALSE,2022,33,4,11
"DC01189",46,"H",24,446000,FALSE,2022,50,4,20
"DC01190",47,"H",23,138000,FALSE,2021,52,5,18
"DC01191",21,"H",15,332000,FALSE,2024,23,2,13
"DC01192",45,"F",15,181000,FALSE,2021,50,5,10
"DC01193",27,"H",20,95000,FALSE,2024,29,2,18
"DC01194",49,"H",20,144000,FALSE,2025,50,1,19
"DC01195",47,"F",15,220000,FALSE,2021,52,5,10
"DC01196",35,"H",10,100000,TRUE,2020,41,6,4
"DC01197",51,"F",15,99000,TRUE,2019,58,7,8
"DC01198",42,"F",10,227000,FALSE,2019,49,7,3
"DC01199",56,"H",14,227000,TRUE,2019,63,7,7
"DC01200",26,"F",10,322000,TRUE,2024,28,2,8
"DC01201",56,"H",14,220000,FALSE,2022,60,4,10
"DC01202",31,"H",10,286000,FALSE,2019,38,7,3
"DC01203",25,"F",20,105000,FALSE,2023,28,3,17
"DC01204",49,"F",20,481000,FALSE,2022,53,4,16
"DC01205",36,"F",15,238000,FALSE,2020,42,6,9
"DC01206",42,"H",15,125000,FALSE,2022,46,4,11
"DC01207",56,"H",10,109000,TRUE,2024,58,2,8
"DC01208",57,"H",10,57000,FALSE,2019,64,7,3
"DC01209",47,"F",15,259000,FALSE,2022,51,4,11
"DC01211",20,"F",10,392000,FALSE,2022,24,4,6
"DC01212",41,"H",10,124000,FALSE,2022,45,4,6
"DC01213",40,"F",15,197000,FALSE,2020,46,6,9
"DC01215",20,"H",10,268000,FALSE,2019,27,7,3
"DC01216",57,"H",13,407000,FALSE,2021,62,5,8
"DC01217",31,"F",25,128000,TRUE,2020,37,6,19
"DC01218",54,"H",10,394000,FALSE,2020,60,6,4
"DC01219",48,"H",22,217000,FALSE,2022,52,4,18
"DC01220",50,"H",20,210000,FALSE,2018,58,8,12
"DC01221",20,"H",10,230000,FALSE,2023,23,3,7
"DC01222",43,"F",10,91000,FALSE,2021,48,5,5
"DC01223",22,"H",10,116000,FALSE,2022,26,4,6
"DC01225",21,"H",15,50000,FALSE,2022,25,4,11
"DC01227",25,"H",15,59000,FALSE,2024,27,2,13
"DC01228",57,"H",13,134000,FALSE,2021,62,5,8
"DC01229",41,"H",20,47000,FALSE,2022,45,4,16
"DC01230",26,"F",30,338000,FALSE,2022,30,4,26
"DC01231",31,"F",5,212000,FALSE,2023,34,3,2
"DC01232",48,"F",20,81000,FALSE,2021,53,5,15
"DC01233",20,"F",10,196000,FALSE,2019,27,7,3
"DC01234",32,"F",20,274000,FALSE,2019,39,7,13
"DC01235",50,"H",20,47000,FALSE,2018,58,8,12
"DC01236",54,"H",16,132000,TRUE,2024,56,2,14
"DC01237",44,"H",10,138000,FALSE,2023,47,3,7
"DC01238",59,"H",5,200000,TRUE,2023,62,3,2
"DC01239",44,"F",10,90000,TRUE,2019,51,7,3
"DC01240",34,"F",10,241000,FALSE,2021,39,5,5
"DC01241",56,"H",14,124000,FALSE,2025,57,1,13
"DC01242",30,"H",20,100000,FALSE,2021,35,5,15
"DC01243",43,"H",15,58000,FALSE,2024,45,2,13
"DC01244",38,"F",10,27000,FALSE,2022,42,4,6
"DC01245",54,"F",5,108000,FALSE,2022,58,4,1
"DC01246",52,"F",18,523000,FALSE,2025,53,1,17
"DC01247",60,"H",10,240000,FALSE,2023,63,3,7
"DC01248",44,"F",15,83000,FALSE,2025,45,1,14
"DC01249",36,"F",15,182000,FALSE,2022,40,4,11
"DC01250",58,"F",12,41000,FALSE,2020,64,6,6
"DC01251",31,"H",15,256000,TRUE,2024,33,2,13
"DC01255",51,"H",15,457000,FALSE,2023,54,3,12
"DC01256",40,"F",20,116000,TRUE,2024,42,2,18
"DC01257",56,"H",10,147000,FALSE,2025,57,1,9
"DC01258",38,"F",10,64000,TRUE,2024,40,2,8
"DC01259",46,"H",5,123000,FALSE,2022,50,4,1
"DC01260",46,"H",20,370000,FALSE,2023,49,3,17
"DC01261",21,"F",20,68000,FALSE,2021,26,5,15
"DC01262",46,"H",24,131000,TRUE,2019,53,7,17
"DC01264",23,"F",15,101000,FALSE,2021,28,5,10
"DC01265",47,"H",20,449000,FALSE,2022,51,4,16
"DC01266",26,"H",5,127000,FALSE,2024,28,2,3
"DC01267",50,"F",10,93000,FALSE,2021,55,5,5
"DC01268",47,"H",15,163000,FALSE,2021,52,5,10
"DC01269",32,"F",10,132000,FALSE,2022,36,4,6
"DC01270",45,"H",25,213000,FALSE,2019,52,7,18
"DC01271",29,"H",25,152000,FALSE,2022,33,4,21
"DC01272",20,"H",15,64000,FALSE,2023,23,3,12
"DC01273",60,"H",5,80000,FALSE,2023,63,3,2
"DC01274",22,"F",10,121000,TRUE,2025,23,1,9
"DC01275",20,"F",15,94000,TRUE,2025,21,1,14
"DC01276",26,"F",25,65000,FALSE,2022,30,4,21
"DC01277",28,"H",10,189000,FALSE,2022,32,4,6
"DC01278",21,"F",20,162000,FALSE,2019,28,7,13
"DC01279",33,"H",15,141000,TRUE,2021,38,5,10
"DC01280",40,"H",25,430000,FALSE,2022,44,4,21
"DC01282",37,"H",15,354000,FALSE,2024,39,2,13
"DC01283",31,"H",15,77000,FALSE,2022,35,4,11
"DC01284",41,"F",20,45000,FALSE,2022,45,4,16
"DC01285",47,"H",20,111000,TRUE,2021,52,5,15
"DC01286",44,"F",25,189000,FALSE,2022,48,4,21
"DC01287",60,"H",10,507000,FALSE,2022,64,4,6
"DC01288",54,"H",10,143000,TRUE,2024,56,2,8
"DC01289",45,"H",20,171000,FALSE,2022,49,4,16
"DC01290",28,"F",20,49000,FALSE,2020,34,6,14
"DC01291",52,"F",10,480000,TRUE,2025,53,1,9
"DC01292",33,"H",10,27000,FALSE,2023,36,3,7
"DC01293",46,"F",10,169000,TRUE,2021,51,5,5
"DC01294",31,"H",20,59000,FALSE,2020,37,6,14
"DC01295",33,"F",25,390000,FALSE,2023,36,3,22
"DC01296",31,"H",10,190000,TRUE,2021,36,5,5
"DC01297",51,"H",15,172000,TRUE,2021,56,5,10
"DC01298",39,"H",10,211000,TRUE,2021,44,5,5
"DC01299",42,"H",25,154000,FALSE,2022,46,4,21
"DC01300",41,"F",10,90000,FALSE,2025,42,1,9
"DC01301",23,"H",20,450000,FALSE,2022,27,4,16
"DC01302",32,"F",20,379000,FALSE,2024,34,2,18
"DC01303",24,"F",25,276000,FALSE,2019,31,7,18
"DC01304",55,"H",5,199000,FALSE,2023,58,3,2
"DC01305",39,"H",15,350000,FALSE,2020,45,6,9
"DC01306",52,"H",18,131000,FALSE,2021,57,5,13
"DC01307",49,"H",5,39000,TRUE,2023,52,3,2
"DC01308",28,"F",15,106000,FALSE,2021,33,5,10
"DC01309",28,"F",20,77000,TRUE,2019,35,7,13
"DC01310",32,"F",10,187000,TRUE,2020,38,6,4
"DC01311",60,"F",10,57000,FALSE,2024,62,2,8
"DC01312",53,"H",10,207000,FALSE,2023,56,3,7
"DC01313",50,"H",20,206000,FALSE,2021,55,5,15
"DC01314",48,"F",20,329000,FALSE,2022,52,4,16
"DC01315",46,"H",5,357000,FALSE,2024,48,2,3
"DC01316",28,"H",30,85000,TRUE,2023,31,3,27
"DC01317",47,"H",10,501000,FALSE,2025,48,1,9
"DC01318",34,"F",15,177000,TRUE,2021,39,5,10
"DC01319",31,"F",25,90000,FALSE,2023,34,3,22
"DC01320",37,"H",30,56000,FALSE,2024,39,2,28
"DC01321",34,"F",15,647000,FALSE,2018,42,8,7
"DC01322",35,"F",15,261000,FALSE,2021,40,5,10
"DC01323",42,"H",10,372000,FALSE,2021,47,5,5
"DC01324",31,"H",15,100000,FALSE,2025,32,1,14
"DC01325",59,"H",11,270000,FALSE,2024,61,2,9
"DC01326",30,"H",20,45000,FALSE,2025,31,1,19
"DC01327",37,"H",10,84000,FALSE,2025,38,1,9
"DC01328",32,"F",5,113000,FALSE,2025,33,1,4
"DC01329",34,"H",15,13000,FALSE,2025,35,1,14
"DC01330",58,"H",12,69000,FALSE,2018,66,8,4
"DC01331",23,"H",10,231000,TRUE,2024,25,2,8
"DC01333",58,"H",10,113000,TRUE,2022,62,4,6
"DC01334",42,"F",15,134000,FALSE,2024,44,2,13
"DC01335",56,"F",14,81000,FALSE,2024,58,2,12
"DC01336",32,"H",10,146000,TRUE,2019,39,7,3
"DC01337",47,"F",5,190000,FALSE,2022,51,4,1
"DC01338",39,"F",20,83000,FALSE,2022,43,4,16
"DC01339",33,"H",10,89000,FALSE,2019,40,7,3
"DC01340",50,"F",10,200000,TRUE,2022,54,4,6
"DC01341",42,"F",25,57000,TRUE,2025,43,1,24
"DC01342",25,"H",10,477000,FALSE,2025,26,1,9
"DC01343",53,"H",17,435000,FALSE,2023,56,3,14
"DC01344",49,"H",15,183000,FALSE,2021,54,5,10
"DC01345",49,"F",10,152000,FALSE,2021,54,5,5
"DC01346",26,"F",10,54000,FALSE,2023,29,3,7
"DC01347",33,"F",30,29000,FALSE,2024,35,2,28
"DC01348",56,"H",14,535000,TRUE,2024,58,2,12
"DC01349",27,"F",10,41000,FALSE,2022,31,4,6
"DC01350",50,"F",20,617000,TRUE,2025,51,1,19
"DC01351",22,"F",20,195000,FALSE,2025,23,1,19
"DC01352",44,"F",10,84000,FALSE,2023,47,3,7
"DC01353",51,"F",15,161000,FALSE,2023,54,3,12
"DC01354",31,"H",10,54000,FALSE,2022,35,4,6
"DC01355",38,"F",25,140000,FALSE,2020,44,6,19
"DC01356",44,"H",15,268000,FALSE,2021,49,5,10
"DC01357",32,"F",10,133000,FALSE,2024,34,2,8
"DC01358",35,"F",15,254000,TRUE,2025,36,1,14
"DC01359",24,"F",15,110000,FALSE,2023,27,3,12
"DC01360",56,"H",14,202000,FALSE,2019,63,7,7
"DC01361",27,"H",10,199000,TRUE,2022,31,4,6
"DC01362",31,"H",20,187000,TRUE,2019,38,7,13
"DC01363",21,"H",5,38000,FALSE,2025,22,1,4
"DC01364",52,"H",15,298000,FALSE,2018,60,8,7
"DC01365",38,"F",20,160000,FALSE,2023,41,3,17
"DC01366",31,"H",10,351000,FALSE,2022,35,4,6
"DC01367",34,"H",15,167000,TRUE,2021,39,5,10
"DC01368",42,"F",20,348000,TRUE,2021,47,5,15
"DC01369",20,"F",10,217000,TRUE,2020,26,6,4
"DC01370",32,"H",10,686000,FALSE,2024,34,2,8
"DC01371",49,"H",10,255000,FALSE,2021,54,5,5
"DC01372",21,"F",10,224000,TRUE,2023,24,3,7
"DC01373",54,"F",15,235000,FALSE,2022,58,4,11
"DC01374",20,"F",10,275000,FALSE,2018,28,8,2
"DC01375",25,"H",10,240000,FALSE,2024,27,2,8
"DC01376",60,"H",10,142000,FALSE,2022,64,4,6
"DC01377",22,"H",30,341000,FALSE,2021,27,5,25
"DC01378",52,"H",10,109000,FALSE,2022,56,4,6
"DC01379",56,"F",10,439000,FALSE,2022,60,4,6
"DC01380",31,"H",30,402000,TRUE,2020,37,6,24
"DC01381",25,"F",15,220000,FALSE,2025,26,1,14
"DC01382",25,"H",10,352000,TRUE,2025,26,1,9
"DC01383",33,"H",10,230000,FALSE,2022,37,4,6
"DC01384",45,"H",20,100000,FALSE,2019,52,7,13
"DC01385",53,"F",15,153000,FALSE,2022,57,4,11
"DC01387",54,"F",15,32000,TRUE,2023,57,3,12
"DC01388",36,"H",20,59000,FALSE,2023,39,3,17
"DC01389",55,"H",15,90000,FALSE,2025,56,1,14
"DC01390",20,"F",20,436000,FALSE,2023,23,3,17
"DC01391",59,"H",10,73000,FALSE,2023,62,3,7
"DC01392",37,"H",10,94000,FALSE,2022,41,4,6
"DC01393",36,"H",10,64000,FALSE,2023,39,3,7
"DC01394",41,"H",20,37000,TRUE,2022,45,4,16
"DC01395",21,"F",5,357000,FALSE,2022,25,4,1
"DC01396",45,"H",5,213000,FALSE,2023,48,3,2
"DC01397",39,"H",30,204000,FALSE,2024,41,2,28
"DC01398",26,"H",5,171000,TRUE,2024,28,2,3
"DC01399",57,"H",5,163000,FALSE,2022,61,4,1
"DC01400",21,"H",10,246000,TRUE,2024,23,2,8
"DC01401",54,"F",16,75000,FALSE,2024,56,2,14
"DC01402",30,"H",20,57000,TRUE,2020,36,6,14
"DC01403",25,"H",20,160000,FALSE,2024,27,2,18
"DC01404",28,"H",10,150000,FALSE,2020,34,6,4
"DC01405",22,"F",15,100000,FALSE,2022,26,4,11
"DC01406",42,"F",15,173000,TRUE,2019,49,7,8
"DC01407",51,"H",10,165000,FALSE,2022,55,4,6
"DC01408",53,"H",15,49000,FALSE,2021,58,5,10
"DC01409",29,"H",20,220000,TRUE,2023,32,3,17
"DC01410",48,"H",15,125000,TRUE,2022,52,4,11
"DC01411",23,"H",15,71000,FALSE,2022,27,4,11
"DC01412",31,"F",20,132000,TRUE,2024,33,2,18
"DC01413",47,"F",20,101000,FALSE,2022,51,4,16
"DC01414",39,"H",5,180000,FALSE,2023,42,3,2
"DC01415",42,"F",25,143000,FALSE,2024,44,2,23
"DC01416",48,"F",20,155000,FALSE,2023,51,3,17
"DC01417",46,"F",15,105000,FALSE,2024,48,2,13
"DC01418",53,"H",15,180000,TRUE,2022,57,4,11
"DC01419",40,"H",20,206000,TRUE,2019,47,7,13
"DC01420",57,"F",13,96000,FALSE,2019,64,7,6
"DC01421",22,"F",10,30000,TRUE,2024,24,2,8
"DC01422",45,"H",15,135000,FALSE,2019,52,7,8
"DC01423",31,"F",25,226000,FALSE,2025,32,1,24
"DC01424",38,"H",30,803000,FALSE,2024,40,2,28
"DC01425",29,"H",25,289000,FALSE,2021,34,5,20
"DC01426",46,"H",15,38000,FALSE,2023,49,3,12
"DC01428",59,"F",10,773000,FALSE,2022,63,4,6
"DC01429",25,"F",5,431000,FALSE,2023,28,3,2
"DC01430",52,"F",10,210000,FALSE,2025,53,1,9
"DC01431",51,"F",19,71000,FALSE,2021,56,5,14
"DC01432",58,"H",12,96000,FALSE,2021,63,5,7
"DC01433",49,"H",20,123000,FALSE,2025,50,1,19
"DC01434",24,"H",20,292000,TRUE,2024,26,2,18
"DC01435",48,"H",20,88000,FALSE,2019,55,7,13
"DC01436",48,"F",20,101000,TRUE,2021,53,5,15
"DC01437",25,"H",15,79000,FALSE,2019,32,7,8
"DC01438",25,"H",15,103000,FALSE,2022,29,4,11
"DC01439",38,"H",10,70000,FALSE,2023,41,3,7
"DC01440",45,"H",10,586000,FALSE,2019,52,7,3
"DC01441",36,"F",15,123000,FALSE,2021,41,5,10
"DC01442",31,"H",20,156000,TRUE,2021,36,5,15
"DC01443",21,"H",20,123000,FALSE,2019,28,7,13
"DC01445",53,"F",15,345000,FALSE,2021,58,5,10
"DC01446",46,"H",20,88000,FALSE,2022,50,4,16
"DC01447",53,"H",10,528000,TRUE,2023,56,3,7
"DC01448",23,"F",20,120000,TRUE,2022,27,4,16
"DC01450",56,"H",14,124000,TRUE,2020,62,6,8
"DC01451",35,"H",20,97000,TRUE,2023,38,3,17
"DC01452",21,"H",10,155000,FALSE,2025,22,1,9
"DC01453",56,"F",10,82000,TRUE,2022,60,4,6
"DC01454",38,"F",5,231000,TRUE,2025,39,1,4
"DC01455",47,"H",15,128000,FALSE,2021,52,5,10
"DC01456",24,"H",10,139000,FALSE,2023,27,3,7
"DC01457",32,"H",20,129000,FALSE,2025,33,1,19
"DC01458",54,"H",16,524000,FALSE,2022,58,4,12
"DC01459",35,"F",30,379000,TRUE,2018,43,8,22
"DC01460",55,"H",10,157000,FALSE,2020,61,6,4
"DC01461",55,"H",15,302000,TRUE,2022,59,4,11
"DC01462",55,"F",10,237000,FALSE,2019,62,7,3
"DC01463",20,"F",10,228000,FALSE,2019,27,7,3
"DC01464",47,"H",20,34000,TRUE,2023,50,3,17
"DC01465",37,"F",30,418000,FALSE,2023,40,3,27
"DC01466",23,"F",15,116000,TRUE,2024,25,2,13
"DC01467",59,"F",11,288000,FALSE,2023,62,3,8
"DC01468",51,"F",10,540000,FALSE,2018,59,8,2
"DC01469",29,"H",20,102000,TRUE,2021,34,5,15
"DC01470",53,"F",5,51000,FALSE,2022,57,4,1
"DC01471",40,"F",20,513000,FALSE,2021,45,5,15
"DC01472",22,"H",25,277000,FALSE,2023,25,3,22
"DC01473",39,"F",15,66000,FALSE,2019,46,7,8
"DC01474",39,"F",30,107000,TRUE,2022,43,4,26
"DC01475",22,"H",20,81000,FALSE,2022,26,4,16
"DC01476",33,"F",10,112000,FALSE,2020,39,6,4
"DC01477",34,"H",20,311000,FALSE,2022,38,4,16
"DC01478",29,"F",10,447000,FALSE,2018,37,8,2
"DC01479",24,"H",15,251000,FALSE,2020,30,6,9
"DC01481",26,"F",20,78000,FALSE,2024,28,2,18
"DC01482",35,"H",20,146000,FALSE,2022,39,4,16
"DC01483",55,"H",10,91000,TRUE,2020,61,6,4
"DC01484",42,"H",25,65000,FALSE,2025,43,1,24
"DC01485",60,"F",10,202000,FALSE,2022,64,4,6
"DC01486",32,"F",20,189000,FALSE,2022,36,4,16
"DC01487",52,"H",15,204000,FALSE,2019,59,7,8
"DC01488",37,"F",10,283000,FALSE,2019,44,7,3
"DC01489",44,"H",10,436000,FALSE,2022,48,4,6
"DC01490",31,"H",10,83000,FALSE,2021,36,5,5
"DC01491",36,"F",15,184000,FALSE,2022,40,4,11
"DC01492",55,"H",15,386000,FALSE,2022,59,4,11
"DC01493",31,"H",20,130000,FALSE,2022,35,4,16
"DC01494",58,"H",12,106000,TRUE,2025,59,1,11
"DC01495",21,"F",20,165000,FALSE,2022,25,4,16
"DC01496",58,"H",5,59000,FALSE,2023,61,3,2
"DC01497",33,"F",10,76000,FALSE,2025,34,1,9
"DC01498",36,"F",10,146000,FALSE,2022,40,4,6
"DC01499",48,"H",15,165000,FALSE,2022,52,4,11
"DC01500",59,"H",11,125000,FALSE,2020,65,6,5
"DC01501",53,"H",15,205000,FALSE,2021,58,5,10
"DC01502",24,"H",25,83000,TRUE,2020,30,6,19
"DC01503",23,"H",15,198000,FALSE,2024,25,2,13
"DC01504",59,"H",10,56000,FALSE,2023,62,3,7
"DC01505",26,"H",10,165000,FALSE,2022,30,4,6
"DC01506",50,"F",10,100000,FALSE,2019,57,7,3
"DC01507",27,"F",10,165000,FALSE,2024,29,2,8
"DC01508",34,"F",20,192000,FALSE,2019,41,7,13
"DC01509",41,"H",20,72000,FALSE,2020,47,6,14
"DC01510",30,"H",15,184000,FALSE,2022,34,4,11
"DC01511",37,"H",10,224000,FALSE,2024,39,2,8
"DC01512",43,"F",20,210000,FALSE,2018,51,8,12
"DC01513",38,"H",10,529000,FALSE,2021,43,5,5
"DC01514",22,"F",10,355000,FALSE,2022,26,4,6
"DC01515",60,"H",5,190000,FALSE,2022,64,4,1
"DC01516",58,"F",12,291000,FALSE,2019,65,7,5
"DC01517",47,"H",15,620000,FALSE,2019,54,7,8
"DC01518",46,"H",10,123000,FALSE,2023,49,3,7
"DC01519",46,"F",20,64000,FALSE,2020,52,6,14
"DC01520",21,"H",10,100000,TRUE,2023,24,3,7
"DC01521",29,"F",5,96000,FALSE,2024,31,2,3
"DC01522",46,"F",10,614000,FALSE,2021,51,5,5
"DC01523",25,"H",20,325000,FALSE,2021,30,5,15
"DC01524",46,"F",24,159000,FALSE,2021,51,5,19
"DC01525",49,"F",15,76000,FALSE,2021,54,5,10
"DC01526",24,"H",25,149000,FALSE,2021,29,5,20
"DC01527",50,"F",10,307000,FALSE,2022,54,4,6
"DC01528",39,"H",10,70000,FALSE,2023,42,3,7
"DC01529",39,"H",10,36000,FALSE,2023,42,3,7
"DC01530",25,"H",15,276000,FALSE,2023,28,3,12
"DC01531",21,"F",10,55000,FALSE,2021,26,5,5
"DC01532",45,"F",10,357000,FALSE,2021,50,5,5
"DC01533",22,"H",20,258000,FALSE,2019,29,7,13
"DC01534",35,"F",25,49000,FALSE,2021,40,5,20
"DC01535",39,"H",10,140000,TRUE,2024,41,2,8
"DC01536",28,"H",20,60000,FALSE,2022,32,4,16
"DC01537",44,"H",20,41000,TRUE,2023,47,3,17
"DC01538",51,"F",15,91000,FALSE,2024,53,2,13
"DC01539",26,"H",10,101000,FALSE,2024,28,2,8
"DC01540",32,"H",5,350000,FALSE,2023,35,3,2
"DC01541",45,"H",20,150000,FALSE,2022,49,4,16
"DC01542",44,"H",10,173000,FALSE,2020,50,6,4
"DC01543",31,"H",25,86000,FALSE,2023,34,3,22
"DC01544",46,"F",15,135000,FALSE,2022,50,4,11
"DC01545",48,"F",20,126000,FALSE,2024,50,2,18
"DC01546",60,"H",10,129000,FALSE,2021,65,5,5
"DC01547",43,"H",15,191000,FALSE,2025,44,1,14
"DC01548",21,"H",10,175000,FALSE,2023,24,3,7
"DC01549",52,"H",18,17000,TRUE,2024,54,2,16
"DC01550",33,"H",10,164000,FALSE,2022,37,4,6
"DC01551",41,"H",10,172000,FALSE,2025,42,1,9
"DC01552",34,"H",15,109000,FALSE,2022,38,4,11
"DC01553",54,"H",10,345000,TRUE,2024,56,2,8
"DC01554",38,"F",25,90000,FALSE,2021,43,5,20
"DC01555",48,"F",15,183000,TRUE,2023,51,3,12
"DC01556",36,"H",25,270000,FALSE,2022,40,4,21
"DC01557",44,"H",10,175000,FALSE,2024,46,2,8
"DC01558",57,"H",13,131000,FALSE,2021,62,5,8
"DC01559",57,"F",13,65000,FALSE,2023,60,3,10
"DC01560",59,"F",11,318000,FALSE,2021,64,5,6
"DC01561",47,"H",20,89000,FALSE,2023,50,3,17
"DC01562",38,"F",10,297000,TRUE,2023,41,3,7
"DC01563",31,"H",25,254000,FALSE,2021,36,5,20
"DC01564",28,"F",10,245000,FALSE,2019,35,7,3
"DC01565",46,"F",15,125000,FALSE,2019,53,7,8
"DC01566",25,"F",15,30000,TRUE,2019,32,7,8
"DC01567",21,"F",20,234000,FALSE,2022,25,4,16
"DC01568",42,"F",20,109000,FALSE,2021,47,5,15
"DC01569",51,"H",19,72000,FALSE,2025,52,1,18
"DC01570",60,"F",10,68000,TRUE,2021,65,5,5
"DC01571",59,"F",11,102000,FALSE,2023,62,3,8
"DC01572",32,"H",20,115000,TRUE,2018,40,8,12
"DC01573",30,"H",20,299000,TRUE,2019,37,7,13
"DC01574",25,"F",10,185000,TRUE,2021,30,5,5
"DC01575",20,"H",20,104000,FALSE,2023,23,3,17
"DC01576",38,"F",15,165000,FALSE,2022,42,4,11
"DC01577",40,"H",20,289000,FALSE,2024,42,2,18
"DC01578",27,"H",10,96000,FALSE,2022,31,4,6
"DC01579",50,"H",20,369000,FALSE,2025,51,1,19
"DC01580",26,"H",10,100000,FALSE,2022,30,4,6
"DC01581",31,"F",15,127000,FALSE,2021,36,5,10
"DC01582",60,"H",10,169000,FALSE,2023,63,3,7
"DC01583",34,"H",15,296000,FALSE,2020,40,6,9
"DC01584",28,"F",20,500000,TRUE,2023,31,3,17
"DC01585",50,"F",10,271000,FALSE,2025,51,1,9
"DC01586",50,"F",10,40000,FALSE,2024,52,2,8
"DC01587",34,"H",15,79000,FALSE,2025,35,1,14
"DC01588",45,"F",5,138000,FALSE,2023,48,3,2
"DC01589",40,"H",15,97000,TRUE,2019,47,7,8
"DC01590",33,"H",15,107000,FALSE,2021,38,5,10
"DC01591",60,"H",10,157000,FALSE,2021,65,5,5
"DC01592",20,"F",20,80000,TRUE,2022,24,4,16
"DC01593",27,"H",20,102000,FALSE,2025,28,1,19
"DC01594",30,"H",10,235000,TRUE,2021,35,5,5
"DC01595",21,"F",20,16000,FALSE,2022,25,4,16
"DC01596",46,"F",15,165000,TRUE,2023,49,3,12
"DC01597",22,"F",10,80000,FALSE,2023,25,3,7
"DC01598",43,"H",15,188000,FALSE,2023,46,3,12
"DC01599",47,"H",15,90000,FALSE,2024,49,2,13
"DC01600",34,"F",15,122000,FALSE,2025,35,1,14
"DC01601",54,"H",16,241000,FALSE,2020,60,6,10
"DC01602",60,"H",10,292000,FALSE,2022,64,4,6
"DC01603",28,"H",20,209000,FALSE,2025,29,1,19
"DC01604",53,"F",17,53000,FALSE,2018,61,8,9
"DC01605",25,"H",15,285000,FALSE,2020,31,6,9
"DC01606",44,"F",10,78000,FALSE,2022,48,4,6
